id,abbreviation,category,generation,name,checksum,alternative_name,platform_family
408,,5.0,4.0,Mega Duck/Cougar Boy,4bd967b3-9dff-84ab-809a-fdf191e5e0f5,WG-108,
410,,1.0,5.0,Atari Jaguar CD,704539d3-9f54-2d0f-220c-986c484c76b0,Jag CD,
411,,5.0,,Handheld Electronic LCD,346d9f71-b36b-0730-5251-4927aa627dd2,Handheld LCD Game,
409,,6.0,,Legacy Computer,6ee1abcf-6815-e8d5-8f13-657776a5b353,,
412,,5.0,6.0,Leapster,2a4b5882-ce1b-2ba6-f4c2-0f3e55fda0b9,Leapster Learning Game System,
414,,1.0,8.0,LeapTV,74a35c87-865a-52ee-29f0-70c03039ff84,LeapTV VCD,
413,,5.0,7.0,Leapster Explorer/LeadPad Explorer,0caa9142-7ddc-c2d9-fedd-7337b458e96f,,
438,,5.0,8.0,Arduboy,86984dd5-5787-bf56-dc47-51ef8719e44f,,
415,,5.0,4.0,Watara/QuickShot Supervision,4ed0c0ee-3103-4d53-c0dc-612a391de28d,,
439,,1.0,6.0,V.Smile,126de53d-b08e-2ccc-345f-f3fc2bf8b3dc,V.SMILE TV LEARNING SYSTEM,
441,,5.0,5.0,PocketStation,01e16974-f1b1-8a6e-d7f2-88bd5d16dd3f,,1.0
417,,4.0,,Palm OS,7c475b92-12a3-b2a1-e302-dd13f4ebfdc3,Garnet OS,
7,PS1,1.0,5.0,PlayStation,579d4df0-cff5-0ba5-5efa-fbbf32dbbca6,"PSX, PSOne, PS",1.0
416,,1.0,5.0,64DD,846a5417-500a-bbea-7954-8e070843c915,Nintendo 64DD,5.0
16,Amiga,6.0,,Amiga,222d007a-1c2f-94a3-e83f-94d881c00176,Commodore Amiga,
471,,1.0,9.0,Meta Quest 3,a4c5c23d-cdc3-4dbc-46dd-362142f3a83e,,
480,,1.0,4.0,Super A'Can,14f2233a-90d9-6e3b-ace8-2ac7b76e54a0,,
47,VC,3.0,,Virtual Console,8a6082c8-1ea6-1652-7409-b1f4bd93c911,VC,5.0
440,,5.0,6.0,Visual Memory Unit / Visual Memory System,db4ff34b-62fc-ec7b-1442-84f602117f2e,VMU / VMS,3.0
472,,4.0,,visionOS,e096afee-da56-f255-cc79-e489296b5bad,,
473,,1.0,,Arcadia 2001,bb87a80b-9796-d632-87bc-a6731b9469be,,
51,fds,1.0,3.0,Family Computer Disk System,6518150e-93d8-5bae-b8f4-d68315f0ca7a,"Famicom Disk System, FDS",5.0
474,,5.0,7.0,Gizmondo,5655d058-98a3-2ba6-7b07-06a6777fd9e3,Gametraq,
25,ACPC,6.0,,Amstrad CPC,68740aab-e67a-d3d3-aa3f-fe6320941567,Colour Personal Computer,
52,Arcade,2.0,,Arcade,11f5b297-b4b6-7d9e-4bd0-3913163567b5,,
29,Genesis/MegaDrive,1.0,4.0,Sega Mega Drive/Genesis,9dbdfd6d-4dae-3a0f-1d20-e12e6dc15b41,Sega Genesis,3.0
59,Atari2600,1.0,2.0,Atari 2600,d7819534-4d88-9e7c-024a-8cdc70be37c8,Atari VCS,
68,colecovision,1.0,2.0,ColecoVision,a4f8d958-db18-3dc1-0c1a-6763f2091be4,Coleco,
475,,5.0,5.0,R-Zone,52ce2cbf-9595-d9b9-04e0-475909983921,,
476,,1.0,5.0,Apple Pippin,3735434b-3763-c159-20c7-8c6690e01a20,PiPP!N,
481,,6.0,,Tomy Tutor / Pyuta / Grandstand Tutor,b065309d-44cd-a5b6-edc3-e1c5eeb7060d,,
486,,5.0,7.0,Digiblast,fa7f9e58-c3ba-6e35-bc30-e938fb6f4dc7,,
48,PS4,1.0,8.0,PlayStation 4,e84598c1-56f6-df20-767f-eec9798871ee,PS4,1.0
12,X360,1.0,7.0,Xbox 360,39a55043-0e8d-aca1-9433-4675fb2bc082,X360,2.0
34,Android,4.0,,Android,c6567c37-17cd-e08b-5d97-46ee19135d11,Infocusa3,4.0
482,,1.0,4.0,Sega CD 32X,ac3e6590-6d1c-4a46-924c-d094d586e491,Sega Mega-CD 32X,3.0
49,XONE,1.0,8.0,Xbox One,1e7829d1-ecc1-967f-d605-ceec12f53c86,XONE,2.0
3,Linux,4.0,,Linux,b810fb9c-65f7-b297-3658-da9c4d52bf11,GNU/Linux,4.0
4,N64,1.0,5.0,Nintendo 64,02fd2c06-507d-2cec-8146-452cb1e5a96a,N64,5.0
55,Mobile,5.0,,Legacy Mobile Device,353a58f6-9253-0101-a132-796eacf71820,Legacy Cellphone,
5,Wii,1.0,7.0,Wii,aa433d9d-5fe2-ecb3-7822-536673adb8ee,Revolution,5.0
