id,games,name,checksum
1525,"[2148, 2723, 3008, 3418, 6316, 6318, 24346, 113120, 122260, 194643, 201644, 201645, 264836, 279442, 289065]",Banjo & Kazooie,31288ec6-391a-9e79-caad-0d57cb7fdd3a
4540,[246578],rubble trouble,7e7d9869-16b5-285b-2249-de1f3ca65b0e
6121,"[129597, 129599, 129600, 321497, 321498]",Arcane Quest,a4fcbf8c-db5e-26ab-7e25-8ecdf7ea6514
4794,"[65476, 65979, 65980, 65983, 92391, 133591, 263688, 263689]",Pucca,d8794d9f-429c-5050-fa04-50f45b704ef2
823,"[14720, 51448, 107151, 115305, 120203, 136605, 148103, 154856, 282712]",RWBY,b5ddd4b7-f38c-f935-41ff-d0626f89fe26
5519,"[89817, 96138]",Hocus Pocus,43af15db-043a-5c87-e8fc-6a207e1628aa
1090,"[19958, 86425]",Beelzebub,2e1046be-1fdf-5c93-dfa8-cbef570bde01
4899,"[204449, 257782]",Too Hot to Handle,c1094afc-f919-28c6-b304-5583437f29b6
738,"[4104, 6511, 6512, 104241, 165816, 184782, 184783]",monster rancher,3396de1f-0f89-895c-9b4b-383c8efa5699
669,"[11448, 13550]",Boogiepop,05f35692-9ceb-ca02-4098-a3f0b8a7e4b7
5522,"[89817, 96138]",Disney's Robin Hood,0976bca1-3102-bd00-ebc2-70115f10b894
5421,"[11249, 290180]",James Bond Jr.,5b9bad5c-a502-f37c-37b9-76859627a514
4670,"[253691, 253694, 253695]",Nausicaä of the Valley of the Wind,fa990b0f-d8f2-3d31-d0cc-024f95ea5d34
4945,[48437],Kyouryuu Sentai Zyuranger,300549d9-8501-6fe4-3a6d-34e84ec44cf0
679,[13346],Atom Ant,c6e0a7f9-c05f-3600-1621-ede629467ce6
684,[13399],Biggles,2f06830d-7887-1848-89f0-5b01d9b4473f
1100,"[19958, 86425, 124486]",Neuro: Supernatural Detective,febae730-f3ef-abe0-6163-eae937892f44
4946,[65662],Labyrinth,8617765d-d303-56d5-8401-aaf33bcb7ae3
691,"[8293, 13508, 56861]",Discworld,f9956752-49ba-127e-d878-706b2a47c4d2
422,[6682],W.I.T.C.H.,f1a9c3c1-915e-bc55-8651-9e27dc8d99bf
1106,"[19958, 37783, 60632, 86425]",Tottemo! Luckyman,9e82d1e0-90e5-d050-f6d2-15648fe58d34
5433,"[23696, 290773]",Thorgal,84927214-fc92-2ab1-7db9-081c63341e87
5523,"[89817, 96138]",Disney's Coco,574beae0-05e5-4535-20a6-4ff0874ed9a8
4527,[9168],The ZhuZhus,c51ffe4f-9146-5124-3ef1-ce7804ade4fc
4947,[58739],Major League,c672245a-2824-6cfe-6088-feb9424c4574
1152,"[48500, 103288, 109051]",City Hunter,68960f29-1715-0ebe-3a4a-be6532b7d415
1179,[78470],Ai Shimai,eeeda993-5a64-e4b4-a462-b40a507a18a8
1568,"[9557, 56193, 80132, 86132, 98931, 112669, 216273, 216292, 216294, 251580, 281887, 281891, 282128, 300533]",Turma da Mônica,c271e9fc-f06f-b173-44a4-8c29edc6d6bf
230,"[4082, 6553]",Rave Master,5f57059c-d927-c74d-b98b-5f9746db366c
722,[11894],All Dogs Go to Heaven,ca1eebc3-cb47-01ef-2453-193d50b3e305
590,[11366],Sega Hard Girls,c9fabb96-2d07-c804-97ab-cea0961834a6
4735,[257435],Animorphs,57744198-7b4f-b219-12b6-717b97d91c11
881,"[9543, 22949, 298861]",Zero Escape,856a5815-a5dd-d554-7762-d5f2f8df5282
4600,[103211],Planet X,07d130fa-e2f8-294c-2e32-7ea4cc33f7f9
637,[12591],Fright Night,a290e7ca-fe1e-ad87-ec98-8548815d24cf
2294,"[8632, 64710, 66373, 170249]",AKB48,c8ea4783-47f2-60d9-08bd-7efad21be34a
1009,"[7761, 28435, 273079]",Attack of the Killer Tomatoes,ec9a7c7f-47b1-8f6e-716e-f336ed5c4f63
1319,[55984],Blacksad,cb11c23a-9d9c-7fe1-5394-3fc80c90986b
326,[4995],Man vs. Wild,3149cd78-bd33-0dbc-d184-acbbd05a3674
1186,[62803],Ore no Imouto,47616ab1-e5c1-c21a-318b-d896fc7230c4
695,"[13553, 19958, 62587, 72593, 72594, 86425, 175683]",To Love-Ru,5ce225f0-dce1-9b09-cdc0-3aa249fc154a
4791,[227654],Monsta Infinite,7e78ce8b-3f59-3274-0088-a76336660993
67,"[2411, 10948, 10949, 15449, 15450, 15451, 15452, 15453, 15454, 15455, 15456, 15457, 27304, 36701, 42316, 42772, 65102, 70166, 96317, 96318, 111847, 112195, 113431, 117495, 124500, 124503, 145897, 146074, 146536, 168535, 183660, 197609, 201313, 206128, 206129, 206522, 206523, 206524, 206537, 206639, 206640, 206826, 206827, 229176, 232700, 252843, 261302]",Ys,2538d2e5-36a6-c145-4f0b-712eba81b00d
386,"[6003, 27728]",Reservoir Dogs,6df0f7d5-9cd4-405f-e7ae-a57a7dbec224
5669,[89817],The Proud Family,aebccbbb-cd5c-ffa6-5bdd-7018f5982257
3508,"[139906, 300371]",Big Brother,7229d269-b7e5-700a-d94a-81f5270673d5
512,"[8551, 8552, 8553, 8554, 8555, 8556]",Monty Python,bcea768c-9e18-c785-438c-83f00b933364
4949,"[48349, 60747, 218252]",Perman,d028ad3b-113f-2bb7-d602-b32f57720e62
4528,[245450],Kevin Keegan,cc928ce6-ab0d-dc4a-c3e1-8978a71b8fe6
1234,"[66411, 80162, 80230, 87796, 109498, 152371, 169915, 175048]",Code Geass,4e08a901-64a0-840f-080d-d090ec6f0edc
1153,"[5369, 38184, 38268, 38340, 45320, 47865, 48500, 49147, 49521, 65009, 65118, 65166, 65167, 76738, 78088, 102254, 128769, 212434, 213599, 213601, 215702]",Captain Tsubasa,c47c3667-c4f1-b1b1-6a56-f06b003d4f2b
670,"[11448, 13550, 248390]",Bludgeoning Angel Dokuro-chan,15b65ff7-63a2-7d3e-5228-c1c2aaf99b8b
5917,[315070],GameStop,e00c1b68-ef9f-627a-0e8b-e214d3b5dfa4
623,"[12166, 13011]",Knightmare,98c7fac0-7315-408a-34b1-2a3fb6d89332
5072,[63641],The Mighty B!,ab9febd9-fb7e-c89d-6a99-bab5f5dee01b
701,[13638],Seraph of the End,f61dbf3a-6a17-69aa-d1fd-f1a1a5e3cb45
4737,[256837],Captain Underpants,17cb710b-8f12-05aa-0cc4-8cb4e5916188
1191,[19644],Falling Skies,74e527ff-f3d4-b00c-e3fd-3c27756c06d3
